version,git_commit,data_source,device,solver_name,sample_size,feature_dim,pop_size,fit_time_s,converged,iter_num,compile_time_fraction,final_loss,final_grad_max
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,1,1,0.33978853220469313,True,6.0,0.925411245125531,0.9859889394744229,4.519203107734978e-09
latest,660e47a,synthetic,cpu,BFGS[optimistix],100,1,1,0.3456823739921674,True,37.0,0.9275906984031685,0.9814204227507404,2.6284909346402873e-09
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,1,1,0.34612449309206567,True,9.0,0.9139051548426472,0.986042433334082,1.8730134860038726e-07
latest,660e47a,synthetic,cpu,LBFGS[scipy],1000,100,1,0.34751162619795645,True,22.0,0.0,-0.331523560262393,7.953189080495262e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],1000,10,1,0.3499553297995589,True,6.0,0.0,0.9638889796970871,9.20445778922559e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],10000,1,1,0.3518939502013381,True,9.0,0.8454027300578308,0.9914321328153737,2.0799506565433867e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,1,1,0.3521596848964691,True,11.0,0.9188535213983109,0.9814779135879054,1.0235166773156848e-06
latest,660e47a,synthetic,cpu,BFGS[optimistix],100000,1,1,0.3552763429877813,True,6.0,0.8939251389083196,0.993059943863124,1.194256716590303e-09
latest,660e47a,synthetic,cpu,LBFGS[scipy],10000,10,20,0.35553830240387463,True,10.0,0.0,18.76252283847376,6.22451101792024e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],100000,10,1,0.3558425144001376,True,5.0,0.0,0.9643608129129031,5.624369984282332e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,1,1,0.359331482910784,True,9.0,0.9061924885851893,0.9859889394744432,1.855037480735951e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],10000,1,1,0.3648882707988378,True,9.0,0.8446835104767978,0.9913677483948329,2.0898285937684814e-07
